periodo;indice;valor
201802;metro_linea_j;416493
201802;metro_linea_l;67335
201802;metro_linea_1_buses;2054638
201802;metro_linea_2_buses;326004
201802;metro_cuenca_3;608434
201802;metro_cuenca_6;1024141
201802;metro_cuenca_5_integrados;392098
201802;metro_cuenca_7_integrados;404533
201802;metro_cuenca_9_integrados;121186
201802;metro_tranvia;676413
201803;metro_linea_h;60052
201803;metro_linea_a;14136660
201803;metro_linea_b;2357619
201803;metro_linea_k;642933
201803;metro_linea_j;433843
201803;metro_linea_l;102878
201803;metro_linea_1_buses;2081501
201803;metro_linea_2_buses;330756
201803;metro_cuenca_3;627069
201803;metro_cuenca_6;1075525
201803;metro_cuenca_5_integrados;403962
201803;metro_cuenca_7_integrados;395625
201803;metro_cuenca_9_integrados;122185
201803;metro_tranvia;702173
201804;metro_linea_h;60478
201804;metro_linea_a;14721662
201804;metro_linea_b;2471310
201804;metro_linea_k;627610
201804;metro_linea_j;436965
201804;metro_linea_l;62698
201804;metro_linea_1_buses;2138519
201804;metro_linea_2_buses;336914
201804;metro_cuenca_3;646902
201804;metro_cuenca_6;1109478
201804;metro_cuenca_7_integrados;415014
201804;metro_cuenca_5_integrados;439296
201804;metro_cuenca_9_integrados;131685
201804;metro_tranvia;721761
201805;metro_linea_h;60034
201805;metro_linea_a;14200846
201805;metro_linea_b;2262275
201805;metro_linea_k;626916
201805;metro_linea_j;413945
201805;metro_linea_l;60911
201805;metro_linea_1_buses;2185949
201805;metro_linea_2_buses;345774
201805;metro_cuenca_3;650703
201805;metro_cuenca_6;1172990
201805;metro_cuenca_7_integrados;410423
201805;metro_cuenca_5_integrados;437453
201805;metro_cuenca_9_integrados;131307
201805;metro_tranvia;740367
201806;metro_linea_h;58419
201806;metro_linea_a;13422736
201806;metro_linea_b;2026020
201806;metro_linea_k;637178
201806;metro_linea_j;380210
201806;metro_linea_l;101388
201806;metro_linea_1_buses;1937280
201806;metro_linea_2_buses;318859
201806;metro_cuenca_3;576915
201806;metro_cuenca_6;1086920
201806;metro_cuenca_7_integrados;387588
201806;metro_cuenca_5_integrados;393387
201806;metro_cuenca_9_integrados;114984
201806;metro_tranvia;677513
201807;metro_linea_h;51194
201807;metro_linea_a;13995720
201807;metro_linea_b;2099949
201807;metro_linea_k;491158
201807;metro_linea_j;335819
201807;metro_linea_l;82376
201807;metro_linea_1_buses;2001024
201807;metro_linea_2_buses;328116
201807;metro_cuenca_3;613271
201807;metro_cuenca_6;1177945
201807;metro_cuenca_7_integrados;403355
201807;metro_cuenca_5_integrados;410755
201807;metro_cuenca_9_integrados;118299
201807;metro_tranvia;712798
201808;metro_linea_h;63135
201808;metro_linea_a;15313256
201808;metro_linea_b;2363588
